Purje Nro,Vene,Kippari,Veneen tyyppi,lys,lähtö,maalissa,purj.aika,tas.aika,sija,,,
3204,Meie,Jouko Jyrkkiö,Avance 33,"1,12",11:30:00,14:55:35,3:25:35,3:50:15,1.,,,
2880,Lill Marie,Matti Arpalahti,Sirena 38,"1,20",11:30:00,14:49:42,3:19:42,3:59:38,2.,,,
10263,Wilma,Tapio Fegerström,Bavaria 36 Match,"1,24",11:30:00,14:46:40,3:16:40,4:03:52,3.,,,
31,Rosa III,Jarmo Rosama,Avance 36,"1,14",11:30:00,15:05:10,3:35:10,4:05:17,4.,,,
11453,Line,Pertti Koskinen,Bavaria 36 Match,"1,24",11:30:00,14:49:17,3:19:17,4:07:07,5.,,,
2295,Felina,Matti Niemelä,FE 83,"1,08",11:30:00,15:22:26,3:52:26,4:11:02,6.,,,
6643,Venda,Pertti Johansson,Sunwind 31,"1,06",11:30:00,15:27:39,3:57:39,4:11:55,7.,,,
11269,Ishtar,Aki Tuominen,Sun Odyssey 37.2,"1,15",11:30:00,15:14:22,3:44:22,4:18:01,8.,,,
4542,Joy,Kai Toivonen,Arcona 32,"1,12",11:30:00,15:28:13,3:58:13,4:26:48,9.,,,
-,Carpe Diem,Stefan Kaapro,Sun Odyssey 36,"1,10",11:30:00,15:36:51,4:06:51,4:31:32,10.,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
